gid,handle,id,remote,type,variants,vendor
gid://shopify/Product/9846562619689,tesco-sweetened-condensed-milk-397-g,9846562619689,False,milk,"[{'id': 51372706365737, 'price': 1282000, 'name': 'Tesco Sweetened Condensed Milk 397 g', 'public_title': None, 'sku': 'spmtsc6302'}]",Tesco
gid://shopify/Product/9846568747305,tesco-vanilla-flavour-coffee-concentrate-500-ml,9846568747305,False,coffee,"[{'id': 51372732088617, 'price': 2189000, 'name': 'Tesco Vanilla Flavour Coffee Concentrate 500 ml', 'public_title': None, 'sku': 'spmtsc6371'}]",Tesco
gid://shopify/Product/9846570516777,tesco-white-mini-marshmallows-100-g,9846570516777,False,food-drinks,"[{'id': 51372739363113, 'price': 826000, 'name': 'Tesco White Mini Marshmallows 100 g', 'public_title': None, 'sku': 'spmtsc6391'}]",Tesco
gid://shopify/Product/9846573564201,tetley-240-tea-bags-750-g,9846573564201,False,tea,"[{'id': 51372751159593, 'price': 3038500, 'name': 'Tetley 240 Tea Bags 750 g', 'public_title': None, 'sku': 'spmtsc6426'}]",Tetley
gid://shopify/Product/9846573662505,tetley-40-tea-bags-125-g,9846573662505,False,tea,"[{'id': 51372751487273, 'price': 1037000, 'name': 'Tetley 40 Tea bags 125 g', 'public_title': None, 'sku': 'spmtsc6427'}]",Tetley
gid://shopify/Product/9846573728041,tetley-80-tea-bags-250-g,9846573728041,False,tea,"[{'id': 51372751749417, 'price': 1658500, 'name': 'Tetley 80 Tea Bags 250 g', 'public_title': None, 'sku': 'spmtsc6428'}]",Tetley
gid://shopify/Product/9846573826345,tetley-decaffeinated-160-tea-bags-500-g,9846573826345,False,tea,"[{'id': 51372752011561, 'price': 2605500, 'name': 'Tetley Decaffeinated 160 Tea Bags 500 g', 'public_title': None, 'sku': 'spmtsc6429'}]",Tetley
gid://shopify/Product/9846573891881,tetley-decaffeinated-80-tea-bags-250-g,9846573891881,False,tea,"[{'id': 51372752273705, 'price': 1812000, 'name': 'Tetley Decaffeinated 80 Tea Bags 250 g', 'public_title': None, 'sku': 'spmtsc6430'}]",Tetley
gid://shopify/Product/9846574055721,tetley-extra-strong-75-tea-bags-237-g,9846574055721,False,tea,"[{'id': 51372752765225, 'price': 1859500, 'name': 'Tetley Extra Strong 75 Tea Bags 237 g', 'public_title': None, 'sku': 'spmtsc6432'}]",Tetley
gid://shopify/Product/9846574252329,tetley-green-tea-decaffeinated-50-tea-bags-100-g,9846574252329,False,tea,"[{'id': 51372753158441, 'price': 1357000, 'name': 'Tetley Green Tea Decaffeinated 50 Tea Bags 100 g', 'public_title': None, 'sku': 'spmtsc6433'}]",Tetley
gid://shopify/Product/9846574317865,tetley-green-tea-lemon-50-tea-bags-100-g,9846574317865,False,tea,"[{'id': 51372753387817, 'price': 1357000, 'name': 'Tetley Green Tea Lemon 50 Tea Bags 100 g', 'public_title': None, 'sku': 'spmtsc6434'}]",Tetley
gid://shopify/Product/9846574350633,tetley-green-tea-mango-passion-fruit-50-tea-bags-100-g,9846574350633,False,tea,"[{'id': 51372753584425, 'price': 1357000, 'name': 'Tetley Green Tea Mango & Passion Fruit 50 Tea Bags 100 g', 'public_title': None, 'sku': 'spmtsc6435'}]",Tetley
gid://shopify/Product/9846574448937,tetley-original-120-tea-bags-375-g,9846574448937,False,tea,"[{'id': 51372753879337, 'price': 1986500, 'name': 'Tetley Original 120 Tea Bags 375 g', 'public_title': None, 'sku': 'spmtsc6436'}]",Tetley
gid://shopify/Product/9846574547241,tetley-original-tea-bags-600-pack-1-875-kg,9846574547241,False,tea,"[{'id': 51372754174249, 'price': 7112000, 'name': 'Tetley Original Tea Bags 600 Pack 1.875 kg', 'public_title': None, 'sku': 'spmtsc6437'}]",Tetley
gid://shopify/Product/9846574612777,tetley-original-tea-bags-x-400-1-25-g,9846574612777,False,tea,"[{'id': 51372754436393, 'price': 3655500, 'name': 'Tetley Original Tea Bags x 400 1.25 g', 'public_title': None, 'sku': 'spmtsc6438'}]",Tetley
gid://shopify/Product/9846574711081,tetley-pure-green-tea-50-tea-bags-100-g,9846574711081,False,tea,"[{'id': 51372754698537, 'price': 1357000, 'name': 'Tetley Pure Green Tea 50 Tea Bags 100 g', 'public_title': None, 'sku': 'spmtsc6439'}]",Tetley
gid://shopify/Product/9846574776617,tetley-redbush-40-tea-bags-100-g,9846574776617,False,tea,"[{'id': 51372754960681, 'price': 1007500, 'name': 'Tetley Redbush 40 Tea Bags 100 g', 'public_title': None, 'sku': 'spmtsc6440'}]",Tetley
gid://shopify/Product/9846574842153,tetley-redbush-vanilla-tea-bags-40-pack-100-g,9846574842153,False,tea,"[{'id': 51372755190057, 'price': 1007500, 'name': 'Tetley Redbush Vanilla Tea Bags 40 Pack 100 g', 'public_title': None, 'sku': 'spmtsc6441'}]",Tetley
gid://shopify/Product/9846577529129,thompsons-irish-breakfast-tea-80-pack-250-g,9846577529129,False,tea,"[{'id': 51372767609129, 'price': 1519000, 'name': ""Thompson's Irish Breakfast Tea 80 Pack 250 g"", 'public_title': None, 'sku': 'spmtsc6473'}]",Thompson's
gid://shopify/Product/8392423801129,durex-play-cherry-100-ml,8392423801129,False,contraception-sexual-pleasure,"[{'id': 45447606731049, 'price': 2535000, 'name': 'Durex Play Cherry 100 ml', 'public_title': None, 'sku': 'mega1794'}]",Durex
